region_code,region_name_fi,comparison_period,steering_risk_level,triggered_rule_count,evaluated_rule_count,triggered_rules,evaluated_rules,data_quality_notes,missing_guardrails,activity_per_real_cost_delta,continuity_delta,experienced_access_delta,service_adequacy_delta,quality_balance_delta,wait_over_7d_delta_pct_points,primary_care_real_cost_delta_eur,emergency_visits_delta_per_1000,avoidable_hospitalizations_delta_per_100000,quality_balance_2022,quality_balance_2024,activity_per_real_cost_2022,activity_per_real_cost_2024
HVA-11,Etelä-Karjalan hyvinvointialue,2022-2024,high_signal,2,4,wait_denominator_conflict|continuity_countermeasure_breach,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-5.35,-8.83,-2.19,2.49,-0.89,-14.0,34.39,54.7,27.0,92.39,91.5,99.85,94.5
HVA-12,Etelä-Savon hyvinvointialue,2022-2024,high_signal,2,4,wait_denominator_conflict|continuity_countermeasure_breach,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-33.73,-17.65,-2.34,-6.98,-8.73,-5.0,226.88,38.4,23.0,87.12,78.39,131.11,97.38
HVA-13,Pohjois-Savon hyvinvointialue,2022-2024,high_signal,2,4,wait_denominator_conflict|continuity_countermeasure_breach,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-17.2,-2.94,-2.05,-5.98,-3.22,-8.3,20.45,-76.1,-167.0,94.58,91.36,158.21,141.01
HVA-14,Pohjois-Karjalan hyvinvointialue,2022-2024,no_observed_signal,0,4,,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,4.16,0.0,1.03,3.86,1.1,-1.4,5.28,69.8,-68.0,80.49,81.59,80.84,85.0
HVA-15,Keski-Suomen hyvinvointialue,2022-2024,watch_signal,1,4,continuity_countermeasure_breach,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-5.89,-11.76,2.77,-1.37,-3.74,4.2,8.63,-38.0,44.0,90.7,86.96,120.81,114.92
HVA-16,Etelä-Pohjanmaan hyvinvointialue,2022-2024,no_observed_signal,0,4,,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-32.68,2.94,-3.22,-2.49,1.19,-2.5,152.44,290.0,139.0,80.36,81.55,137.1,104.42
HVA-17,Pohjanmaan hyvinvointialue,2022-2024,watch_signal,1,4,continuity_countermeasure_breach,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,0.82,-17.64,-2.78,9.98,-1.84,8.1,3.08,-104.2,146.0,98.39,96.55,74.46,75.28
HVA-18,Keski-Pohjanmaan hyvinvointialue,2022-2024,no_observed_signal,0,4,,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-1.88,5.88,3.22,-1.38,1.88,22.7,28.68,75.8,-71.0,90.26,92.14,109.24,107.36
HVA-19,Pohjois-Pohjanmaan hyvinvointialue,2022-2024,no_observed_signal,0,4,,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-33.16,5.88,-1.9,-3.49,-0.14,7.8,113.28,15.1,228.0,86.92,86.78,164.46,131.3
HVA-20,Kainuun hyvinvointialue,2022-2024,no_observed_signal,0,4,,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-37.31,0.0,5.12,3.74,2.53,8.3,238.52,-21.6,-45.0,89.47,92.0,136.1,98.79
HVA-21,Lapin hyvinvointialue,2022-2024,no_observed_signal,0,4,,activity_quality_conflict|wait_denominator_conflict|cost_shift_signal|continuity_countermeasure_breach,2023_governance_and_recording_break,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,-6.51,0.0,-0.88,3.87,0.77,0.9,76.69,-134.4,-100.0,86.78,87.55,78.21,71.7
HVA-90,Helsingin kaupunki,2022-2024,insufficient_data,0,2,,wait_denominator_conflict|cost_shift_signal,2023_governance_and_recording_break|known_2022_visit_recording_deficit,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,88.51,,7.75,-0.87,,24.0,-23.26,511.0,-202.0,,95.53,101.15,189.66
HVA-91,Ahvenanmaa,2022-2024,insufficient_data,0,1,,continuity_countermeasure_breach,2023_governance_and_recording_break|avoidable_hospitalization_metric_unavailable,care_request_count|no_appointment_share_pct|interrupted_care_path_share_pct|median_wait_days|whole_chain_cost_real_eur_per_resident,,2.94,-6.58,-1.62,-1.09,,,59.9,,106.41,105.32,,
